0.572483	0.839954	YES
1.121503	1.351435	DO
1.562597	1.850623	MENTION
1.850623	1.925595	MY
1.925595	2.091323	NAME
2.091323	2.178132	IF
2.182078	2.351752	YOU
2.346241	2.651253	LIKE
2.781854	2.908122	IT
2.908122	3.073850	WON'T
3.073850	3.167700	DO
3.167700	3.338975	ANY
3.338975	3.587677	HARM
3.634602	3.761025	AND
3.761025	3.843144	IT
3.885376	4.094191	MIGHT
4.094191	4.206811	DO
4.206811	4.478975	SOME
4.478975	4.711253	GOOD
5.056764	5.276697	I'VE
5.276697	5.447973	JUST
5.480820	5.736560	PAID
5.769408	5.947722	MY
5.947722	6.180000	BILL
