0.886560	1.035376	SO
1.035376	1.101868	I
1.101868	1.234852	CAN
1.234852	1.617973	SEE
1.738292	1.871276	I
1.944100	2.289226	THINK
2.289226	2.384214	I'LL
2.384214	2.624852	GO
2.713508	3.049134	ALONG
3.049134	3.223280	THERE
3.489248	3.625399	I
3.625399	3.850205	NEED
3.850205	3.961025	A
3.961025	4.087677	NEW
4.087677	4.470797	SUIT
4.629112	5.024897	OH
5.373189	5.503007	BY
5.503007	5.626492	THE
5.626492	5.867130	WAY
6.164761	6.376902	WHAT
6.376902	6.525718	SORT
6.566879	6.918337	PRICES
6.918337	7.000661	DO
7.000661	7.184305	THEY
7.184305	7.529431	CHARGE
