0.327995	0.433713	I
0.433713	0.620752	HAD
0.620752	0.758998	IT
0.758998	1.008383	MADE
1.222528	1.493599	I
1.751116	2.081822	VERY
2.081822	2.428793	RARELY
2.428793	2.561617	BUY
2.561617	2.640228	A
2.640228	3.011595	SUIT
3.011595	3.103759	SO
3.168815	3.328747	I
3.361276	3.681139	THOUGHT
3.681139	3.895285	I'D
3.976606	4.104009	HAVE
4.104009	4.158223	IT
4.223280	4.597358	TAILORED
5.071731	5.166606	AND
5.234374	5.296720	I'M
5.318405	5.540683	 QUITE
5.540683	5.833440	PLEASED
5.833440	5.963554	WITH
5.963554	6.156014	IT
