0.274169	0.397813	I
0.397813	0.661230	WOULDN'T
0.661230	0.801002	CALL
0.801002	0.897768	IT
0.897768	1.247198	SHABBY
1.327836	1.489112	BUT
1.489112	1.596629	IT
1.596629	1.838542	ISN'T
1.886925	2.171845	VERY
2.171845	2.494396	MODERN
2.612665	2.763189	I
2.763189	3.096492	ADMIT
3.505057	3.865239	HOWEVER
4.048018	4.246925	THEY'RE
4.246925	4.424328	VERY
4.424328	4.978041	OBLIGING
5.096310	5.413485	AND
5.827426	6.058588	TAKE
6.063964	6.133850	A
6.133850	6.370387	GREAT
6.370387	6.526287	DEAL
6.531663	6.628428	OF
6.628428	6.940228	TROUBLE
